date,hashtags,name,time,tweet,urls,username
2020-04-19,['#dkpol'],Josephine Fock,12:08:29,Så glad for at det lykkedes os at lande en nødpulje og en arrangementspulje til kulturen. Hårdt tiltrængt #dkpol ⁦@alternativet_⁩ https://www.berlingske.dk/politik/folketinget-udvider-og-forlaenger-redningspakker-til-kulturlivet …,['https://www.berlingske.dk/politik/folketinget-udvider-og-forlaenger-redningspakker-til-kulturlivet'],josephinefock
2020-06-09,['#dkpol'],Mette Abildgaard,19:12:25,"Man prioriterer 20/220 mio. målrettet på de udsatte børn i dagens aftale. Det er alt for skævt. Velfærdsstaten og fællesskabet er netop til for at prioritere de mest udsatte. Ikke alle dem, der kan selv. Derfor står @KonservativeDK udenfor aftalen. #dkpol pic.twitter.com/MaT8PJhmY9",[],metteabildgaard
2020-02-29,[],Pia Olsen Dyhr,20:58:33,Yes. Enig,[],piaolsen
2020-05-31,[],Anne Paulin,17:15:03,😂,[],paulin_anne
2020-03-17,[],Stinus Lindgreen,08:37:16,I lige måde!,[],stinuslindgreen
2020-04-14,"['#uddpol', '#sundhed']",Signe Munk,12:06:17,Super forslag fra @RandiBrinckmann om uddannelse af akutsygeplejersker til den videre udvikling af vores sundhedsvæsen - håber at @AneHalsboe læser med! :) #uddpol #sundhed https://politikensundhed.dk/debat/art7679410/Lad-os-uddanne-specialsygeplejersker-i-akutsygepleje …,['https://politikensundhed.dk/debat/art7679410/Lad-os-uddanne-specialsygeplejersker-i-akutsygepleje'],signe_munk
2020-04-18,[],Pia Olsen Dyhr,22:06:42,Vi må lave småø’s træf på et tidspunkt 😊,[],piaolsen
2020-06-18,[],Dan Jørgensen,13:37:18,Tak! Glæder mig til samarbejdet om hvordan vi når i mål!,[],danjoergensen
2020-06-23,[],Morten Østergaard,16:09:32,Så sandt som det er spurgt🧐 Lad fornuften råde. https://twitter.com/RasmusBrygger/status/1275411133810249730 …,['https://twitter.com/RasmusBrygger/status/1275411133810249730'],oestergaard
2020-03-18,[],Pia Olsen Dyhr,00:24:58,Dejligt med fælles sang 😍 https://twitter.com/MAGTsatire/status/1239845515950424065 …,['https://twitter.com/MAGTsatire/status/1239845515950424065'],piaolsen
